Postcode,Locality,State,Longitude,Latitude,SA3,SA3 Name,SA4,SA4 Name,Region
3000,MELBOURNE,VIC,144.956776,-37.817403000000006,20604.0,Melbourne City,206.0,Melbourne - Inner,R1
3002,EAST MELBOURNE,VIC,144.98220700000002,-37.818517,20604.0,Melbourne City,206.0,Melbourne - Inner,R1
3003,WEST MELBOURNE,VIC,144.949592,-37.810871,20604.0,Melbourne City,206.0,Melbourne - Inner,R1
3004,MELBOURNE,VIC,144.97016100000002,-37.844246000000005,20605.0,Port Phillip,206.0,Melbourne - Inner,R1
3005,WORLD TRADE CENTRE,VIC,144.950858,-37.824608000000005,20604.0,Melbourne City,206.0,Melbourne - Inner,R1
3006,SOUTH WHARF,VIC,144.9520744,-37.82528675,20605.0,Port Phillip,206.0,Melbourne - Inner,R1
3006,SOUTHBANK,VIC,144.965926,-37.823258,20605.0,Port Phillip,206.0,Melbourne - Inner,R1
3008,DOCKLANDS,VIC,144.948039,-37.814719000000004,20604.0,Melbourne City,206.0,Melbourne - Inner,R1
3010,UNIVERSITY OF MELBOURNE,VIC,144.961351,-37.796152,20604.0,Melbourne City,206.0,Melbourne - Inner,R1
3011,FOOTSCRAY,VIC,144.907953,-37.807101,21303.0,Maribyrnong,213.0,Melbourne - West,R1
3011,SEDDON,VIC,144.907953,-37.807101,21303.0,Maribyrnong,213.0,Melbourne - West,R1
3011,SEDDON WEST,VIC,144.907953,-37.807101,21303.0,Maribyrnong,213.0,Melbourne - West,R1
3012,BROOKLYN,VIC,144.861162,-37.807134999999995,21303.0,Maribyrnong,213.0,Melbourne - West,R1
3012,KINGSVILLE,VIC,144.861162,-37.807134999999995,21303.0,Maribyrnong,213.0,Melbourne - West,R1
3012,KINGSVILLE WEST,VIC,144.861162,-37.807134999999995,21303.0,Maribyrnong,213.0,Melbourne - West,R1
3012,MAIDSTONE,VIC,144.861162,-37.807134999999995,21303.0,Maribyrnong,213.0,Melbourne - West,R1
3012,TOTTENHAM,VIC,144.861162,-37.807134999999995,21303.0,Maribyrnong,213.0,Melbourne - West,R1
3012,WEST FOOTSCRAY,VIC,144.861162,-37.807134999999995,21303.0,Maribyrnong,213.0,Melbourne - West,R1
3013,YARRAVILLE,VIC,144.888686,-37.814183,21303.0,Maribyrnong,213.0,Melbourne - West,R1
3013,YARRAVILLE WEST,VIC,144.888686,-37.814183,21303.0,Maribyrnong,213.0,Melbourne - West,R1
3015,NEWPORT,VIC,144.880556,-37.838242,21302.0,Hobsons Bay,213.0,Melbourne - West,R1
3015,SOUTH KINGSVILLE,VIC,144.880556,-37.838242,21302.0,Hobsons Bay,213.0,Melbourne - West,R1
3015,SPOTSWOOD,VIC,144.880556,-37.838242,21302.0,Hobsons Bay,213.0,Melbourne - West,R1
3016,WILLIAMSTOWN,VIC,144.888461,-37.863743,21302.0,Hobsons Bay,213.0,Melbourne - West,R1
3016,WILLIAMSTOWN NORTH,VIC,144.888461,-37.863743,21302.0,Hobsons Bay,213.0,Melbourne - West,R1
3018,ALTONA,VIC,144.812736,-37.86172,21302.0,Hobsons Bay,213.0,Melbourne - West,R1
3018,SEAHOLME,VIC,144.812736,-37.86172,21302.0,Hobsons Bay,213.0,Melbourne - West,R1
3019,BRAYBROOK,VIC,144.85401399999998,-37.784683,21303.0,Maribyrnong,213.0,Melbourne - West,R1
3019,BRAYBROOK NORTH,VIC,144.85401399999998,-37.784683,21303.0,Maribyrnong,213.0,Melbourne - West,R1
3019,ROBINSON,VIC,144.85401399999998,-37.784683,21303.0,Maribyrnong,213.0,Melbourne - West,R1
3020,ALBION,VIC,144.829945,-37.777204,21301.0,Brimbank,213.0,Melbourne - West,R1
3020,GLENGALA,VIC,144.829945,-37.777204,21301.0,Brimbank,213.0,Melbourne - West,R1
3020,SUNSHINE,VIC,144.829945,-37.777204,21301.0,Brimbank,213.0,Melbourne - West,R1
3020,SUNSHINE NORTH,VIC,144.829945,-37.777204,21301.0,Brimbank,213.0,Melbourne - West,R1
3020,SUNSHINE WEST,VIC,144.829945,-37.777204,21301.0,Brimbank,213.0,Melbourne - West,R1
3021,ALBANVALE,VIC,144.796693,-37.743361,21301.0,Brimbank,213.0,Melbourne - West,R1
3021,KEALBA,VIC,144.796693,-37.743361,21301.0,Brimbank,213.0,Melbourne - West,R1
3021,KINGS PARK,VIC,144.796693,-37.743361,21301.0,Brimbank,213.0,Melbourne - West,R1
3021,ST ALBANS,VIC,144.796693,-37.743361,21301.0,Brimbank,213.0,Melbourne - West,R1
3022,ARDEER,VIC,144.79396100000002,-37.795937,21301.0,Brimbank,213.0,Melbourne - West,R1
3022,DEER PARK EAST,VIC,144.79396100000002,-37.795937,21301.0,Brimbank,213.0,Melbourne - West,R1
3023,BURNSIDE,VIC,144.77064099999998,-37.78272,21304.0,Melton - Bacchus Marsh,213.0,Melbourne - West,R1
3023,BURNSIDE HEIGHTS,VIC,144.755657,-37.73218752,21304.0,Melton - Bacchus Marsh,213.0,Melbourne - West,R1
3023,CAIRNLEA,VIC,144.77064099999998,-37.78272,21304.0,Melton - Bacchus Marsh,213.0,Melbourne - West,R1
3023,CAROLINE SPRINGS,VIC,144.77064099999998,-37.78272,21304.0,Melton - Bacchus Marsh,213.0,Melbourne - West,R1
3023,DEER PARK,VIC,144.77064099999998,-37.78272,21304.0,Melton - Bacchus Marsh,213.0,Melbourne - West,R1
3023,DEER PARK NORTH,VIC,144.77064099999998,-37.78272,21304.0,Melton - Bacchus Marsh,213.0,Melbourne - West,R1
3023,RAVENHALL,VIC,144.77064099999998,-37.78272,21304.0,Melton - Bacchus Marsh,213.0,Melbourne - West,R1
3024,FIELDSTONE,VIC,144.649936,-37.75045631,21305.0,Wyndham,213.0,Melbourne - West,R1
3024,MAMBOURIN,VIC,144.556552,-37.899873,21305.0,Wyndham,213.0,Melbourne - West,R1
3024,MANOR LAKES,VIC,144.5812323,-37.86694209,21305.0,Wyndham,213.0,Melbourne - West,R1
3024,MOUNT COTTRELL,VIC,144.556552,-37.899873,21305.0,Wyndham,213.0,Melbourne - West,R1
3024,WYNDHAM VALE,VIC,144.556552,-37.899873,21305.0,Wyndham,213.0,Melbourne - West,R1
3025,ALTONA EAST,VIC,144.839704,-37.835562,21305.0,Wyndham,213.0,Melbourne - West,R1
3025,ALTONA GATE,VIC,144.839704,-37.835562,21305.0,Wyndham,213.0,Melbourne - West,R1
3025,ALTONA NORTH,VIC,144.839704,-37.835562,21305.0,Wyndham,213.0,Melbourne - West,R1
3026,LAVERTON NORTH,VIC,144.774986,-37.829923,21305.0,Wyndham,213.0,Melbourne - West,R1
3027,LAVERTON RAAF,VIC,144.754147,-37.932419,21305.0,Wyndham,213.0,Melbourne - West,R1
3027,WILLIAMS LANDING,VIC,144.7430155,-37.86199812,21305.0,Wyndham,213.0,Melbourne - West,R1
3028,ALTONA MEADOWS,VIC,144.777165,-37.875066,21305.0,Wyndham,213.0,Melbourne - West,R1
3028,LAVERTON,VIC,144.777165,-37.875066,21305.0,Wyndham,213.0,Melbourne - West,R1
3028,SEABROOK,VIC,144.777165,-37.875066,21305.0,Wyndham,213.0,Melbourne - West,R1
3029,HOPPERS CROSSING,VIC,144.70583100000002,-37.837165,21305.0,Wyndham,213.0,Melbourne - West,R1
3029,TARNEIT,VIC,144.70583100000002,-37.837165,21305.0,Wyndham,213.0,Melbourne - West,R1
3029,TRUGANINA,VIC,144.70583100000002,-37.837165,21305.0,Wyndham,213.0,Melbourne - West,R1
3030,COCOROC,VIC,144.64209,-37.91624,21305.0,Wyndham,213.0,Melbourne - West,R1
