suburb,lga
kingsville,Brimbank
knoxfield,Knox
koo wee rup,Baw Baw
kooyong,Stonnington
kurunjang,Melton
labertouche,Baw Baw
lalor,Whittlesea
lancefield,Macedon Ranges
lang lang,Bass Coast
lang lang east,Bass Coast
launching place,Yarra Ranges
laverton,Hobsons Bay
lilydale,Yarra Ranges
little river,Greater Geelong
longwarry,Baw Baw
longwarry north,Baw Baw
lower plenty,Banyule
lynbrook,Casey
lyndhurst,Casey
lysterfield,Casey
lysterfield south,Casey
macedon,Macedon Ranges
macleod,Banyule
maddingley,Greater Geelong
maidstone,Brimbank
malvern,Stonnington
malvern east,Glen Eira
manor lakes,Melton
maribyrnong,Maribyrnong
maryknoll,Cardinia
mckinnon,Glen Eira
mcmahons creek,Yarra Ranges
meadow heights,Hume
melbourne,Melbourne
melbourne 3004,Melbourne
melton,Melton
melton south,Melton
melton west,Melton
mentone,Kingston
menzies creek,Cardinia
mernda,Nillumbik
merrimu,Greater Geelong
middle park,Port Phillip
mill park,Whittlesea
millgrove,Yarra Ranges
mitcham,Whitehorse
modella,Baw Baw
monbulk,Yarra Ranges
mont albert,Boroondara
mont albert north,Whitehorse
montmorency,Banyule
montrose,Yarra Ranges
moonee ponds,Moonee Valley
moorabbin,Kingston
mooroolbark,Yarra Ranges
mordialloc,Kingston
mount burnett,Cardinia
mount cottrell,Melton
mount dandenong,Yarra Ranges
mount evelyn,Yarra Ranges
mount macedon,Macedon Ranges
mount toolebewong,Murrindindi
mount waverley,Monash
mulgrave,Monash
murrumbeena,Glen Eira
myrniong,Moorabool
nangana,Cardinia
nar nar goon,Cardinia
nar nar goon north,Cardinia
narbethong,Murrindindi
narre warren,Casey
narre warren east,Casey
narre warren north,Casey
new gisborne,Macedon Ranges
newham,Macedon Ranges
newport,Hobsons Bay
niddrie,Brimbank
noble park,Greater Dandenong
noojee,Baw Baw
north melbourne,Melbourne
north warrandyte,Manningham
northcote,Darebin
notting hill,Monash
nulla vale,Macedon Ranges
nunawading,Manningham
nutfield,Nillumbik
nyora,Cardinia
oak park,Moreland
oaklands junction,Hume
oakleigh,Monash
oakleigh east,Monash
oakleigh south,Kingston
officer,Cardinia
officer south,Cardinia
olinda,Yarra Ranges
ormond,Glen Eira
pakenham,Cardinia
panton hill,Nillumbik
park orchards,Manningham
parkdale,Kingston
parkville,Melbourne
pascoe vale,Moreland
pascoe vale south,Moreland
pheasant creek,Murrindindi
pioneer bay,Bass Coast
plenty,Nillumbik
plumpton,Melton
point cook,Brimbank
port melbourne,Melbourne
powelltown,Yarra Ranges
prahran,Port Phillip
preston,Darebin
preston west,Darebin
princes hill,Melbourne
reedy creek,Mitchell
reefton,Yarra Ranges
research,Banyule
reservoir,Darebin
richmond,Yarra
riddells creek,Macedon Ranges
ringwood,Manningham
ringwood east,Maroondah
ringwood north,Manningham
rochford,Macedon Ranges
rockbank,Melton
romsey,Macedon Ranges
rosanna,Banyule
rowville,Knox
sandringham,Bayside
sassafras,Yarra Ranges
scoresby,Knox
seabrook,Hobsons Bay
seaholme,Hobsons Bay
seddon,Maribyrnong
selby,Cardinia
seville,Yarra Ranges
seville east,Yarra Ranges
sherbrooke,Yarra Ranges
silvan,Yarra Ranges
smiths gully,Nillumbik
south kingsville,Hobsons Bay
south melbourne,Port Phillip
south morang,Whittlesea
south yarra,Melbourne
southbank,Melbourne
spotswood,Hobsons Bay
springvale,Greater Dandenong
springvale south,Greater Dandenong
st albans,Brimbank
st helena,Banyule
st kilda,Port Phillip
st kilda east,Glen Eira
st kilda west,Port Phillip
staughton vale,Greater Geelong
steels creek,Nillumbik
strath creek,Mitchell
strathewen,Nillumbik
strathmore,Moonee Valley
strathtulloh,Melton
sugarloaf creek,Mitchell
sunbury,Hume
sunday creek,Mitchell
sunshine,Brimbank
sunshine north,Brimbank
sunshine west,Brimbank
surrey hills,Boroondara
tanjil bren,Baw Baw
tarneit,Melton
taylors lakes,Brimbank
tecoma,Yarra Ranges
templestowe,Manningham
templestowe lower,Manningham
tenby point,Bass Coast
the basin,Knox
the gurdies,Bass Coast
the patch,Yarra Ranges
thomastown,Whittlesea
thornbury,Darebin
thornhill park,Melton
three bridges,Yarra Ranges
tonimbuk,Cardinia
toolangi,Murrindindi
toolern vale,Melton
tooradin,Cardinia
toorak,Stonnington
travancore,Maribyrnong
tremont,Yarra Ranges
tullamarine,Brimbank
tyaak,Mitchell
tynong,Cardinia
tynong north,Cardinia
upper ferntree gully,Casey
upper plenty,Macedon Ranges
upwey,Yarra Ranges
vermont,Maroondah
vermont south,Maroondah
vesper,Baw Baw
viewbank,Banyule
wallan,Macedon Ranges
wandin east,Yarra Ranges
wandin north,Yarra Ranges
wandong,Mitchell
wantirna,Knox
wantirna south,Knox
warburton,Yarra Ranges
warneet,Cardinia
warrandyte,Manningham
warranwood,Manningham
waterford park,Mitchell
waterways,Kingston
watsonia,Banyule
watsonia north,Banyule
wattle glen,Nillumbik
weir views,Melton
wesburn,Yarra Ranges
west footscray,Brimbank
west melbourne,Melbourne
westmeadows,Hume
wheelers hill,Monash
whittlesea,Murrindindi
williams landing,Wyndham
williamstown,Hobsons Bay
willowmavin,Mitchell
windsor,Port Phillip
wollert,Whittlesea
wonga park,Manningham
woodend,Macedon Ranges
woodend north,Macedon Ranges
woodstock,Whittlesea
woori yallock,Yarra Ranges
wyndham vale,Melton
yallambie,Banyule
yan yean,Whittlesea
yannathan,Cardinia
yarra glen,Nillumbik
yarra junction,Yarra Ranges
yarrambat,Nillumbik
yarraville,Maribyrnong
yellingbo,Yarra Ranges
yering,Yarra Ranges
yuroke,Hume
